  theta     tau_y / h      tau_x / h        mx          mx errorbar       my          my errorbar        mz         mz errorbar
  0.00     -0.0007584      0.0007584      0.4165860      0.0001847      0.4170494      0.0001859      0.0003792      0.0001587
  0.03      0.0175735     -0.0175721      0.4178958      0.0001755      0.4178656      0.0001758      0.0004953      0.0001600
  0.06      0.0347007     -0.0347285      0.4160162      0.0001821      0.4163297      0.0001835      0.0011228      0.0001569
  0.09      0.0506014     -0.0504059      0.4139615      0.0001901      0.4124921      0.0001916      0.0022562      0.0001594
  0.13      0.0632610     -0.0632351      0.4166277      0.0001908      0.4164818      0.0001889      0.0053348      0.0001582
  0.16      0.0784513     -0.0787672      0.4157515      0.0001868      0.4171796      0.0001853      0.0068474      0.0001562
  0.19      0.0966778     -0.0966345      0.4185579      0.0001797      0.4183943      0.0001813      0.0072478      0.0001578
  0.22      0.1119054     -0.1122008      0.4179082      0.0001848      0.4188656      0.0001815      0.0087199      0.0001582
  0.25      0.1295247     -0.1294737      0.4172050      0.0001841      0.4170599      0.0001808      0.0088823      0.0001580
  0.28      0.1413597     -0.1418090      0.4131720      0.0001886      0.4143108      0.0001891      0.0112770      0.0001590
  0.31      0.1591097     -0.1587456      0.4165824      0.0001816      0.4157492      0.0001814      0.0120621      0.0001572
  0.35      0.1766000     -0.1764184      0.4153223      0.0001920      0.4149431      0.0001913      0.0118821      0.0001569
  0.38      0.1903293     -0.1899745      0.4154762      0.0001852      0.4147946      0.0001865      0.0139659      0.0001566
  0.41      0.2061202     -0.2058580      0.4135630      0.0001838      0.4130961      0.0001840      0.0142512      0.0001568
  0.44      0.2221356     -0.2216306      0.4164521      0.0001852      0.4156133      0.0001835      0.0158196      0.0001586
  0.47      0.2300584     -0.2301540      0.4076450      0.0001995      0.4077940      0.0001989      0.0177697      0.0001597
  0.50      0.2473420     -0.2475078      0.4091322      0.0001995      0.4093756      0.0001996      0.0179166      0.0001579
  0.53      0.2626143     -0.2622185      0.4098978      0.0001919      0.4093481      0.0001915      0.0188607      0.0001577
  0.57      0.2731469     -0.2730511      0.4054622      0.0002004      0.4053356      0.0002022      0.0201945      0.0001600
  0.60      0.2872182     -0.2875231      0.4050391      0.0002071      0.4054226      0.0002052      0.0210075      0.0001568
  0.63      0.3040386     -0.3040151      0.4061969      0.0002089      0.4061687      0.0002076      0.0207747      0.0001578
  0.66      0.3121886     -0.3126188      0.4022100      0.0002149      0.4027064      0.0002195      0.0230585      0.0001593
  0.69      0.3259236     -0.3264578      0.4030945      0.0001967      0.4036871      0.0001914      0.0243003      0.0001611
  0.72      0.3337961     -0.3330508      0.3958978      0.0002307      0.3951010      0.0002303      0.0243043      0.0001580
  0.75      0.3491997     -0.3495628      0.3996448      0.0002077      0.4000198      0.0002074      0.0258549      0.0001585
  0.79      0.3576130     -0.3569274      0.3965782      0.0002276      0.3958925      0.0002295      0.0275525      0.0001578
  0.82      0.3680180     -0.3682130      0.3919644      0.0002202      0.3921536      0.0002215      0.0263422      0.0001625
  0.85      0.3766598     -0.3768550      0.3918523      0.0002159      0.3920364      0.0002159      0.0295050      0.0001609
  0.88      0.3913015     -0.3901835      0.3936505      0.0002201      0.3926246      0.0002187      0.0295312      0.0001604
  0.91      0.3978508     -0.3973848      0.3880517      0.0002319      0.3876348      0.0002302      0.0291862      0.0001604
  0.94      0.4004090     -0.4009843      0.3828045      0.0002539      0.3833073      0.0002515      0.0319558      0.0001580
  0.97      0.4070622     -0.4067678      0.3794220      0.0002559      0.3791704      0.0002575      0.0326783      0.0001611
  1.01      0.4131180     -0.4141481      0.3751333      0.0002667      0.3759960      0.0002656      0.0324859      0.0001608
  1.04      0.4255392     -0.4260668      0.3761814      0.0002683      0.3766148      0.0002661      0.0318012      0.0001587
  1.07      0.4283751     -0.4282994      0.3718526      0.0002573      0.3717915      0.0002569      0.0336854      0.0001614
  1.10      0.4382742     -0.4380898      0.3723532      0.0002609      0.3722069      0.0002622      0.0340516      0.0001614
  1.13      0.4312189     -0.4324559      0.3600138      0.0003002      0.3609804      0.0003012      0.0345970      0.0001627
  1.16      0.4309594     -0.4305120      0.3542762      0.0002804      0.3539315      0.0002799      0.0363292      0.0001643
  1.19      0.4352553     -0.4350604      0.3519586      0.0003046      0.3518103      0.0003045      0.0374002      0.0001633
  1.23      0.4439743     -0.4441020      0.3524875      0.0003084      0.3525835      0.0003094      0.0369723      0.0001609
  1.26      0.4278624     -0.4279340      0.3358187      0.0004026      0.3358719      0.0004037      0.0385298      0.0001616
  1.29      0.4070320     -0.4069219      0.3154772      0.0004338      0.3153961      0.0004344      0.0383615      0.0001642
  1.32      0.3781792     -0.3786497      0.2904249      0.0005448      0.2907684      0.0005477      0.0394871      0.0001644
  1.35      0.4191268     -0.4181541      0.3158528      0.0003859      0.3151481      0.0003870      0.0385046      0.0001629
  1.38      0.3296055     -0.3296262      0.2477073      0.0006406      0.2477222      0.0006413      0.0386927      0.0001649
  1.41      0.2679444     -0.2673059      0.2012176      0.0007490      0.2007604      0.0007489      0.0419242      0.0001651
  1.45      0.2595451     -0.2589911      0.1921944      0.0008028      0.1917996      0.0008040      0.0403550      0.0001651
  1.48      0.2247280     -0.2242270      0.1649885      0.0007979      0.1646327      0.0007988      0.0401956      0.0001673
  1.51      0.1722802     -0.1728992      0.1256671      0.0008753      0.1261056      0.0008741      0.0405253      0.0001654
  1.54      0.1035021     -0.1038367      0.0750947      0.0009008      0.0753314      0.0009022      0.0421102      0.0001658
  1.57      0.0412731     -0.0398448      0.0291845      0.0009074      0.0281745      0.0009044      0.0416585      0.0001675
  1.60     -0.1440684      0.1430214     -0.1037181      0.0008596     -0.1029774      0.0008594      0.0404129      0.0001668
  1.63     -0.1749444      0.1747130     -0.1276589      0.0008631     -0.1274949      0.0008640      0.0416964      0.0001671
  1.67     -0.1989627      0.1987746     -0.1469500      0.0008248     -0.1468164      0.0008251      0.0421517      0.0001641
  1.70     -0.2893239      0.2884853     -0.2135673      0.0007149     -0.2129696      0.0007142      0.0411875      0.0001679
  1.73     -0.2902233      0.2902676     -0.2168276      0.0006717     -0.2168593      0.0006730      0.0404065      0.0001661
  1.76     -0.3731153      0.3737532     -0.2793637      0.0005249     -0.2798229      0.0005227      0.0399365      0.0001642
  1.79     -0.3005960      0.3018049     -0.2302644      0.0007367     -0.2311403      0.0007359      0.0394340      0.0001653
  1.82     -0.3994543      0.3985826     -0.3061722      0.0005255     -0.3055358      0.0005253      0.0400807      0.0001653
  1.85     -0.3845793      0.3832044     -0.2992721      0.0005139     -0.2982596      0.0005136      0.0391593      0.0001646
  1.88     -0.4344473      0.4355449     -0.3401773      0.0003343     -0.3409934      0.0003339      0.0373607      0.0001638
  1.92     -0.4450090      0.4451806     -0.3536820      0.0003012     -0.3538110      0.0003030      0.0377911      0.0001642
  1.95     -0.4105538      0.4114138     -0.3333473      0.0004179     -0.3340014      0.0004185      0.0377121      0.0001645
  1.98     -0.4029578      0.4041051     -0.3328704      0.0004366     -0.3337544      0.0004350      0.0366048      0.0001637
  2.01     -0.4311385      0.4313148     -0.3608888      0.0003106     -0.3610265      0.0003073      0.0360064      0.0001616
  2.04     -0.4260449      0.4256832     -0.3633807      0.0002958     -0.3630936      0.0002955      0.0350684      0.0001622
  2.07     -0.4287330      0.4295440     -0.3734315      0.0002567     -0.3740859      0.0002568      0.0353448      0.0001599
  2.10     -0.4197611      0.4201353     -0.3734121      0.0002690     -0.3737195      0.0002681      0.0341656      0.0001632
  2.14     -0.4140195      0.4137344     -0.3771361      0.0002518     -0.3768973      0.0002538      0.0338762      0.0001607
  2.17     -0.4025586      0.4028728     -0.3750705      0.0002635     -0.3753391      0.0002659      0.0321568      0.0001624
  2.20     -0.4049781      0.4056078     -0.3871131      0.0002363     -0.3876635      0.0002368      0.0322625      0.0001630
  2.23     -0.3994629      0.3990428     -0.3897570      0.0002334     -0.3893810      0.0002305      0.0294255      0.0001599
  2.26     -0.3872184      0.3870262     -0.3901595      0.0002270     -0.3899832      0.0002294      0.0297501      0.0001604
  2.29     -0.3776697      0.3772858     -0.3914354      0.0002449     -0.3910736      0.0002473      0.0284070      0.0001606
  2.32     -0.3696656      0.3683847     -0.3949324      0.0002135     -0.3936899      0.0002132      0.0273736      0.0001588
  2.36     -0.3523132      0.3525587     -0.3905195      0.0002372     -0.3907650      0.0002385      0.0270159      0.0001599
  2.39     -0.3481523      0.3484312     -0.3995032      0.0002174     -0.3997913      0.0002155      0.0264792      0.0001590
  2.42     -0.3369902      0.3371244     -0.4012416      0.0002009     -0.4013852      0.0002004      0.0255066      0.0001598
  2.45     -0.3258754      0.3265400     -0.4038717      0.0002033     -0.4046090      0.0002052      0.0247862      0.0001584
  2.48     -0.3110403      0.3106638     -0.3994351      0.0002193     -0.3990008      0.0002185      0.0222631      0.0001612
  2.51     -0.2992333      0.2993436     -0.4057747      0.0001941     -0.4059075      0.0001949      0.0235277      0.0001611
  2.54     -0.2891995      0.2895626     -0.4073729      0.0001978     -0.4078297      0.0001975      0.0209312      0.0001567
  2.58     -0.2730948      0.2723857     -0.4050395      0.0002168     -0.4041038      0.0002156      0.0200357      0.0001577
  2.61     -0.2633956      0.2636552     -0.4093486      0.0001927     -0.4097092      0.0001936      0.0181771      0.0001566
  2.64     -0.2483752      0.2480867     -0.4093454      0.0001930     -0.4089219      0.0001922      0.0174099      0.0001585
  2.67     -0.2375585      0.2376217     -0.4155138      0.0001801     -0.4156123      0.0001818      0.0163959      0.0001567
  2.70     -0.2174502      0.2169607     -0.4110609      0.0001951     -0.4102480      0.0001943      0.0166149      0.0001600
  2.73     -0.2066617      0.2067279     -0.4137232      0.0001849     -0.4138411      0.0001848      0.0140052      0.0001579
  2.76     -0.1899300      0.1900156     -0.4119679      0.0002033     -0.4121324      0.0002018      0.0131985      0.0001576
  2.80     -0.1765999      0.1768111     -0.4153589      0.0001889     -0.4157998      0.0001884      0.0118914      0.0001605
  2.83     -0.1588994      0.1589054     -0.4144557      0.0001813     -0.4144694      0.0001809      0.0116840      0.0001596
  2.86     -0.1399374      0.1399835     -0.4140346      0.0001887     -0.4141515      0.0001881      0.0121948      0.0001593
  2.89     -0.1283408      0.1283394     -0.4178818      0.0001881     -0.4178778      0.0001875      0.0096163      0.0001574
  2.92     -0.1098042      0.1097205     -0.4155486      0.0002012     -0.4152773      0.0002010      0.0094235      0.0001565
  2.95     -0.0970860      0.0970730     -0.4171111      0.0001830     -0.4170621      0.0001842      0.0068449      0.0001562
  2.98     -0.0809791      0.0810527     -0.4184264      0.0001832     -0.4187587      0.0001815      0.0058673      0.0001596
  3.02     -0.0649963      0.0649968     -0.4182771      0.0001794     -0.4182795      0.0001814      0.0046075      0.0001575
  3.05     -0.0485944      0.0485150     -0.4184971      0.0001778     -0.4179009      0.0001791      0.0035674      0.0001593
  3.08     -0.0310507      0.0310585     -0.4156348      0.0001861     -0.4157227      0.0001867      0.0029345      0.0001585
  3.11     -0.0130269      0.0130002     -0.4208522      0.0001800     -0.4202506      0.0001807      0.0028354      0.0001590
  3.14     -0.0011624      0.0011624     -0.4175493      0.0001831     -0.4185046      0.0001814     -0.0005812      0.0001576

---------------------------------------------------------------------------------------------------------------------------
hx = 30 sqrt(2) cos(theta), hy = 30 sqrt(2) cos(theta), hz = hx = 30 sin(theta), beta = 1, J1.dat
